iter	Passed	Remaining
0	57	57678
1	57	28921
2	58	19341
3	58	14554
4	58	11680
5	58	9762
6	59	8391
7	59	7363
8	59	6569
9	59	5928
10	60	5404
11	60	4966
12	60	4596
13	60	4278
14	60	4003
15	61	3764
16	61	3551
17	61	3362
18	61	3193
19	62	3041
20	62	2903
21	62	2778
22	62	2663
23	62	2559
24	63	2463
25	63	2374
26	63	2292
27	63	2215
28	64	2144
29	64	2077
30	64	2015
31	64	1956
32	64	1900
33	65	1848
34	65	1800
35	65	1754
36	65	1713
37	66	1673
38	66	1634
39	66	1597
40	66	1561
41	66	1527
42	67	1495
43	67	1465
44	67	1435
45	67	1407
46	68	1380
47	68	1354
48	68	1330
49	68	1306
50	68	1283
51	69	1261
52	69	1240
53	69	1220
54	69	1200
55	70	1181
56	70	1163
57	70	1146
58	70	1129
59	71	1113
60	71	1097
61	71	1081
62	71	1066
63	71	1051
64	72	1037
65	72	1024
66	72	1011
67	72	996
68	72	984
69	73	971
70	73	959
71	73	948
72	73	937
73	74	926
74	74	915
75	74	905
76	74	895
77	74	885
78	75	875
79	75	865
80	75	856
81	75	847
82	75	838
83	76	830
84	76	820
85	76	812
86	76	803
87	76	796
88	77	789
89	77	782
90	77	774
91	77	767
92	78	761
93	78	754
94	78	747
95	78	740
96	78	734
97	79	728
98	79	722
99	79	715
100	79	709
101	79	702
102	80	697
103	80	691
104	80	686
105	80	680
106	80	674
107	81	669
108	81	664
109	81	659
110	81	654
111	81	649
112	82	645
113	82	640
114	82	635
115	82	630
116	82	626
117	83	621
118	83	616
119	83	612
120	83	608
121	83	603
122	83	598
123	84	594
124	84	590
125	84	586
126	84	582
127	84	578
128	85	574
129	85	570
130	85	567
131	85	563
132	85	560
133	86	556
134	86	553
135	86	549
136	86	546
137	86	543
138	87	539
139	87	536
140	87	533
141	87	530
142	88	527
143	88	524
144	88	521
145	88	518
146	88	515
147	89	512
148	89	510
149	89	507
150	89	504
151	89	502
152	90	499
153	90	497
154	90	494
155	90	491
156	91	489
157	91	486
158	91	484
159	91	481
160	91	479
161	92	476
162	92	474
163	92	472
164	92	470
165	93	467
166	93	465
167	93	463
168	93	460
169	93	458
170	94	456
171	94	454
172	94	452
173	94	449
174	95	448
175	95	446
176	95	444
177	95	442
178	95	440
179	96	438
180	96	435
181	96	433
182	96	431
183	96	429
184	97	427
185	97	426
186	97	424
187	97	422
188	98	420
189	98	418
190	98	416
191	98	415
192	98	413
193	99	411
194	99	410
195	99	408
196	99	406
197	100	405
198	100	403
199	100	402
200	100	400
201	101	399
202	101	397
203	101	396
204	101	394
205	101	393
206	102	391
207	102	389
208	102	388
209	102	386
210	103	385
211	103	383
212	103	382
213	103	380
214	103	379
215	104	378
216	104	376
217	104	375
218	104	374
219	105	372
220	105	371
221	105	369
222	105	368
223	106	367
224	106	366
225	106	365
226	106	363
227	107	362
228	107	361
229	107	359
230	107	358
231	107	357
232	108	356
233	108	355
234	108	353
235	108	352
236	109	351
237	109	349
238	109	348
239	109	347
240	109	346
241	110	345
242	110	343
243	110	342
244	110	341
245	111	340
246	111	339
247	111	338
248	111	336
249	111	335
250	112	334
251	112	333
252	112	332
253	112	331
254	113	330
255	113	329
256	113	327
257	113	326
258	113	325
259	114	324
260	114	323
261	114	322
262	114	321
263	114	320
264	115	319
265	115	318
266	115	317
267	115	316
268	116	315
269	116	314
270	116	313
271	116	312
272	117	311
273	117	310
274	117	309
275	117	308
276	117	307
277	118	306
278	118	306
279	118	305
280	118	304
281	119	303
282	119	302
283	119	301
284	119	300
285	119	299
286	120	298
287	120	297
288	120	296
289	120	295
290	121	295
291	121	294
292	121	293
293	121	292
294	122	291
295	122	290
296	122	289
297	122	289
298	122	288
299	123	287
300	123	286
301	123	285
302	123	284
303	123	283
304	124	282
305	124	282
306	124	281
307	124	280
308	125	279
309	125	278
310	125	278
311	125	277
312	125	276
313	126	275
314	126	274
315	126	274
316	126	273
317	127	272
318	127	271
319	127	271
320	127	270
321	128	269
322	128	268
323	128	268
324	128	267
325	129	266
326	129	266
327	129	265
328	129	264
329	130	263
330	130	263
331	130	262
332	130	261
333	130	261
334	131	260
335	131	259
336	131	258
337	131	258
338	131	257
339	132	256
340	132	256
341	132	255
342	132	254
343	133	253
344	133	253
345	133	252
346	133	251
347	134	251
348	134	250
349	134	249
350	134	249
351	134	248
352	135	247
353	135	247
354	135	246
355	136	246
356	136	245
357	136	244
358	136	244
359	136	243
360	137	242
361	137	242
362	137	241
363	137	240
364	137	240
365	138	239
366	138	238
367	138	238
368	138	237
369	138	236
370	139	236
371	139	235
372	139	234
373	139	234
374	140	233
375	140	232
376	140	232
377	140	231
378	140	230
379	141	230
380	141	229
381	141	229
382	141	228
383	142	227
384	142	227
385	142	226
386	142	226
387	142	225
388	143	224
389	143	224
390	143	223
391	143	222
392	143	222
393	144	221
394	144	221
395	144	220
396	144	219
397	144	219
398	145	218
399	145	218
400	145	217
401	145	217
402	146	216
403	146	215
404	146	215
405	146	214
406	147	214
407	147	213
408	147	213
409	147	212
410	147	211
411	148	211
412	148	210
413	148	210
414	148	209
415	148	209
416	149	208
417	149	208
418	149	207
419	149	206
420	150	206
421	150	205
422	150	205
423	150	204
424	150	204
425	151	203
426	151	203
427	151	202
428	151	202
429	152	201
430	152	201
431	152	200
432	152	200
433	152	199
434	153	199
435	153	198
436	153	197
437	153	197
438	154	196
439	154	196
440	154	195
441	154	195
442	154	194
443	155	194
444	155	193
445	155	193
446	155	192
447	156	192
448	156	191
449	156	191
450	156	190
451	156	190
452	157	189
453	157	189
454	157	188
455	157	188
456	158	188
457	158	187
458	158	187
459	158	186
460	159	186
461	159	185
462	159	185
463	159	184
464	160	184
465	160	183
466	160	183
467	160	182
468	160	182
469	161	181
470	161	181
471	161	180
472	161	180
473	161	179
474	162	179
475	162	178
476	162	178
477	162	177
478	162	177
479	163	176
480	163	176
481	163	175
482	163	175
483	164	174
484	164	174
485	164	173
486	164	173
487	164	173
488	165	172
489	165	172
490	165	171
491	165	171
492	166	170
493	166	170
494	166	169
495	166	169
496	167	169
497	167	168
498	167	168
499	167	167
500	167	167
501	168	166
502	168	166
503	168	165
504	168	165
505	168	164
506	169	164
507	169	164
508	169	163
509	169	163
510	170	162
511	170	162
512	170	161
513	170	161
514	170	160
515	171	160
516	171	160
517	171	159
518	171	159
519	171	158
