iter	Passed	Remaining
0	0	309
1	0	278
2	0	264
3	1	254
4	1	247
5	1	241
6	1	242
7	1	237
8	2	241
9	2	240
10	2	242
11	3	248
12	3	249
13	3	245
14	3	243
15	3	243
16	4	242
17	4	240
18	4	239
19	4	236
20	5	238
21	5	236
22	5	237
23	5	236
24	6	235
25	6	234
26	6	236
27	6	235
28	6	233
29	7	231
30	7	230
31	7	231
32	7	231
33	8	230
34	8	229
35	8	229
36	8	228
37	9	227
38	9	226
39	9	226
40	9	225
41	9	224
42	10	223
43	10	226
44	10	225
45	10	226
46	11	227
47	11	227
48	11	227
49	12	228
50	12	228
51	12	229
52	12	229
53	13	229
54	13	229
55	13	228
56	13	227
57	13	227
58	14	227
59	14	227
60	14	227
61	14	226
62	15	226
63	15	225
64	15	225
65	15	225
66	16	224
67	16	223
68	16	223
69	16	222
70	16	222
71	17	221
72	17	222
73	17	222
74	17	221
75	18	221
76	18	220
77	18	220
78	18	219
79	19	219
80	19	219
81	19	218
82	19	216
83	19	216
84	20	216
85	20	215
86	20	215
87	20	214
88	20	214
89	21	214
90	21	213
91	21	213
92	21	212
93	22	212
94	22	213
95	22	213
96	22	212
97	23	212
98	23	211
99	23	211
100	23	210
101	23	210
102	24	210
103	24	210
104	24	209
105	24	209
106	25	208
107	25	208
108	25	208
109	25	207
110	25	207
111	26	207
112	26	206
113	26	206
114	26	206
115	27	205
116	27	205
117	27	204
118	27	204
119	27	204
120	28	203
121	28	202
122	28	202
123	28	202
124	28	202
125	29	201
126	29	201
127	29	202
128	29	202
129	30	201
130	30	201
131	30	200
132	30	200
133	31	200
134	31	200
135	31	199
136	31	200
137	31	199
138	32	199
139	32	199
140	32	198
141	32	197
142	32	197
143	33	197
144	33	196
145	33	196
146	33	196
147	34	195
148	34	195
149	34	195
150	34	194
151	34	194
152	35	194
153	35	194
154	35	194
155	35	194
156	36	194
157	36	193
158	36	193
159	36	193
160	36	192
161	37	191
162	37	191
163	37	191
164	37	190
165	37	190
166	38	190
167	38	190
168	38	189
169	38	189
170	39	189
171	39	189
172	39	188
173	39	188
174	39	188
175	40	187
176	40	187
177	40	187
178	40	187
179	41	187
180	41	186
181	41	186
182	41	186
183	41	186
184	42	185
185	42	185
186	42	185
187	42	185
188	43	184
189	43	184
190	43	184
191	43	184
192	43	183
193	44	183
194	44	183
195	44	183
196	44	182
197	45	182
198	45	182
199	45	181
200	45	181
201	45	181
202	46	180
203	46	180
204	46	180
205	46	180
206	46	180
207	47	179
208	47	179
209	47	179
210	47	178
211	48	178
212	48	178
213	48	178
214	48	178
215	48	177
216	49	177
217	49	177
218	49	177
219	49	176
220	50	176
221	50	176
222	50	175
223	50	175
224	50	175
225	51	175
226	51	174
227	51	174
228	51	174
229	52	174
230	52	173
231	52	173
232	52	173
233	52	173
234	53	172
235	53	172
236	53	172
237	53	172
238	54	172
239	54	171
240	54	171
241	54	171
242	54	171
243	55	170
